シフト,レーン,ゲーム,右利き_女性,右利き_男性,左利き_女性,左利き_男性,左利き_男性_累積,左利き_女性_累積,右利き_男性_累積,右利き_女性_累積
B,25L・26L,1,2.0,2.0,0.0,1.0,2.0,3.0,22.0,13.0
B,25L・26L,2,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0
B,25L・26L,3,2.0,3.0,0.0,0.0,2.0,1.0,4.0,3.0
B,25L・26L,4,1.0,2.0,1.0,1.0,2.0,1.0,7.0,5.0
B,25L・26L,5,2.0,3.0,0.0,0.0,3.0,2.0,9.0,6.0
B,25L・26L,6,1.0,3.0,1.0,0.0,3.0,2.0,12.0,8.0
B,25L・26L,7,2.0,2.0,0.0,1.0,3.0,3.0,15.0,9.0
B,25L・26L,8,2.0,2.0,0.0,1.0,4.0,3.0,17.0,11.0
B,27L・28L,1,2.0,3.0,0.0,0.0,5.0,3.0,19.0,13.0
B,27L・28L,2,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0
B,27L・28L,3,1.0,3.0,1.0,0.0,1.0,0.0,5.0,4.0
B,27L・28L,4,1.0,1.0,1.0,2.0,1.0,1.0,8.0,5.0
B,27L・28L,5,1.0,2.0,1.0,0.0,3.0,2.0,9.0,6.0
B,27L・28L,6,2.0,3.0,0.0,0.0,3.0,3.0,11.0,7.0
B,27L・28L,7,2.0,1.0,0.0,2.0,3.0,3.0,14.0,9.0
B,27L・28L,8,2.0,2.0,0.0,1.0,5.0,3.0,15.0,11.0
B,29L・30L,1,2.0,2.0,0.0,1.0,6.0,3.0,17.0,13.0
B,29L・30L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
B,29L・30L,3,1.0,3.0,1.0,0.0,1.0,0.0,5.0,4.0
B,29L・30L,4,1.0,2.0,1.0,1.0,1.0,1.0,8.0,5.0
B,29L・30L,5,1.0,3.0,1.0,0.0,2.0,2.0,10.0,6.0
B,29L・30L,6,2.0,2.0,0.0,1.0,2.0,3.0,13.0,7.0
B,29L・30L,7,2.0,3.0,0.0,0.0,3.0,3.0,15.0,9.0
B,29L・30L,8,2.0,3.0,0.0,0.0,3.0,3.0,18.0,11.0
B,31L・32L,1,2.0,2.0,0.0,1.0,3.0,3.0,21.0,13.0
B,31L・32L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
B,31L・32L,3,1.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0
B,31L・32L,4,2.0,3.0,0.0,0.0,3.0,1.0,6.0,5.0
B,31L・32L,5,1.0,2.0,1.0,1.0,3.0,1.0,9.0,7.0
B,31L・32L,6,2.0,3.0,0.0,0.0,4.0,2.0,11.0,8.0
B,31L・32L,7,1.0,3.0,1.0,0.0,4.0,2.0,14.0,10.0
B,31L・32L,8,2.0,2.0,0.0,1.0,4.0,3.0,17.0,11.0
B,33L・34L,1,2.0,3.0,0.0,0.0,5.0,3.0,19.0,13.0
B,33L・34L,2,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
B,33L・34L,3,2.0,2.0,0.0,1.0,0.0,0.0,6.0,4.0
B,33L・34L,4,1.0,3.0,1.0,0.0,1.0,0.0,8.0,6.0
B,33L・34L,5,1.0,1.0,1.0,2.0,1.0,1.0,11.0,7.0
B,33L・34L,6,1.0,2.0,1.0,0.0,3.0,2.0,12.0,8.0
B,33L・34L,7,2.0,3.0,0.0,0.0,3.0,3.0,14.0,9.0
B,33L・34L,8,2.0,1.0,0.0,2.0,3.0,3.0,17.0,11.0
B,35L・36L,1,2.0,2.0,0.0,1.0,5.0,3.0,18.0,13.0
B,35L・36L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
B,35L・36L,3,2.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0
B,35L・36L,4,1.0,3.0,1.0,0.0,2.0,0.0,7.0,6.0
B,35L・36L,5,1.0,2.0,1.0,1.0,2.0,1.0,10.0,7.0
B,35L・36L,6,1.0,3.0,1.0,0.0,3.0,2.0,12.0,8.0
B,35L・36L,7,2.0,2.0,0.0,1.0,3.0,3.0,15.0,9.0
B,35L・36L,8,2.0,3.0,0.0,0.0,4.0,3.0,17.0,11.0
B,37L・38L,1,2.0,1.0,0.0,2.0,4.0,3.0,20.0,13.0
B,37L・38L,2,2.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0
B,37L・38L,3,2.0,2.0,0.0,1.0,3.0,0.0,3.0,4.0
B,37L・38L,4,1.0,2.0,1.0,1.0,4.0,0.0,5.0,6.0
B,37L・38L,5,2.0,3.0,0.0,0.0,5.0,1.0,7.0,7.0
B,37L・38L,6,1.0,2.0,1.0,1.0,5.0,1.0,10.0,9.0
B,37L・38L,7,2.0,3.0,0.0,0.0,6.0,2.0,12.0,10.0
B,37L・38L,8,1.0,3.0,1.0,0.0,6.0,2.0,15.0,12.0
B,39L・40L,1,2.0,3.0,0.0,0.0,6.0,3.0,18.0,13.0
B,39L・40L,2,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
B,39L・40L,3,2.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0
B,39L・40L,4,2.0,2.0,0.0,1.0,0.0,0.0,9.0,6.0
B,39L・40L,5,1.0,3.0,1.0,0.0,1.0,0.0,11.0,8.0
B,39L・40L,6,1.0,1.0,1.0,2.0,1.0,1.0,14.0,9.0
B,39L・40L,7,1.0,2.0,1.0,0.0,3.0,2.0,15.0,10.0
B,39L・40L,8,2.0,3.0,0.0,0.0,3.0,3.0,17.0,11.0
B,3L・4L,1,1.0,2.0,1.0,0.0,3.0,3.0,20.0,13.0
B,3L・4L,2,2.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0
B,3L・4L,3,2.0,1.0,0.0,2.0,0.0,1.0,5.0,3.0
B,3L・4L,4,2.0,2.0,0.0,1.0,2.0,1.0,6.0,5.0
B,3L・4L,5,2.0,2.0,0.0,1.0,3.0,1.0,8.0,7.0
B,3L・4L,6,1.0,2.0,1.0,1.0,4.0,1.0,10.0,9.0
B,3L・4L,7,2.0,3.0,0.0,0.0,5.0,2.0,12.0,10.0
B,3L・4L,8,1.0,2.0,1.0,1.0,5.0,2.0,15.0,12.0
B,41L・42L,1,1.0,3.0,1.0,0.0,6.0,3.0,17.0,13.0
B,41L・42L,2,2.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0
