key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
16L,16L-2,☆アマ,,永井萌々香,選手,A,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
16L,16L-3,S,600,金子　萌夏,55,A,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
17L,17L-1,,545,大嶋　有香,49,A,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L
17L,17L-2,,584,原野　萌花,53,A,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L
17L,17L-3,S,533,川﨑　由意,48,A,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L
18L,18L-1,,497,小泉奈津美,46,A,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L
18L,18L-2,☆アマ,,梶田　愛子,選手,A,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L
18L,18L-3,,570,本橋　優美,51,A,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L
19L,19L-1,S,364,丹羽由香梨,35,A,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L
19L,19L-2,,616,太　琳華,56,A,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L
19L,19L-3,CS,587,今井　双葉,54,A,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L
20L,20L-1,,604,溝口　睦実,55,A,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L
20L,20L-2,☆アマ,,戸塚　知菜,選手,A,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L
20L,20L-3,,594,三上　彩奈,54,A,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L
21L,21L-1,,523,内藤真裕実,48,A,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L
21L,21L-2,S,559,霜出　佳奈,50,A,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L
21L,21L-3,,297,座間　美子,28,A,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L
22L,22L-1,S,583,堀井　春花,53,A,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L
22L,22L-2,☆アマ,,佐鳥　佳純,選手,A,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L
22L,22L-3,,624,小堀香那子,56,A,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L
23L,23L-1,,361,植竹　幸子,35,A,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L
23L,23L-2,S,613,秋吉　夕紀,56,A,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L
23L,23L-3,歴,490,大根谷　愛,45,A,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L
24L,24L-1,,566,川村友美子,50,A,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L
24L,24L-2,☆アマ,,水谷　秋穂,選手,A,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L
24L,24L-3,,445,鈴木　亜季,41,A,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L
15L,15L-1,PT,626,後藤光々音,57,B,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
15L,15L-2,推,437,鬼頭　徐美,40,B,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
15L,15L-3,S,544,坂本　かや,49,B,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
16L,16L-1,,581,尾上　萌楓,52,B,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
16L,16L-2,☆アマ,,細井　花,選手,B,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
16L,16L-3,,530,飯田　菜々,48,B,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
17L,17L-1,,499,本間由佳梨,46,B,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L
