key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
26L,26L-2,☆アマ,,藤村　嶺弥,選手,B,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
26L,26L-3,,978,市原　竜太,40,B,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
27L,27L-1,,1077,堀江　真一,43,B,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
27L,27L-2,☆アマ,,伊東　将成,選手,B,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
27L,27L-3,,1227,鈴木　崇徳,49,B,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
28L,28L-1,,1365,髙橋　俊彦,55,B,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
28L,28L-2,☆アマ,,此下　大介,選手,B,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
28L,28L-3,,1470,安谷屋綱大,62,B,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L,13L・14L,19L・20L,25L・26L,31L・32L,3L・4L
29L,29L-1,,1195,藤井　一浩,48,B,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
29L,29L-2,☆アマ,,佐々木　渉,選手,B,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
29L,29L-3,S,1287,藤井　信人,52,B,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
30L,30L-1,,1406,原田　裕史,57,B,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
30L,30L-2,☆アマ,,前田　尚輝,選手,B,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
30L,30L-3,,1229,上田　晋也,49,B,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L,15L・16L,21L・22L,27L・28L,33L・34L,5L・6L
31L,31L-1,,1099,津島　健次,45,B,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
31L,31L-2,☆アマ,,竹本　弘憲,選手,B,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
31L,31L-3,S,1446,斎藤　祐太,61,B,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
32L,32L-1,,1435,徳久　恵大,60,B,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
32L,32L-2,☆アマ,,池田　一登,選手,B,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
32L,32L-3,,1178,平井　翔,47,B,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L,17L・18L,23L・24L,29L・30L,35L・36L,7L・8L
33L,33L-1,,934,西川　徹,38,B,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
33L,33L-2,☆アマ,,鷲見　和保,選手,B,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
33L,33L-3,,1350,山中　悟,54,B,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
34L,34L-1,PM,1477,西山　翔悟,63,B,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
34L,34L-2,☆アマ,,長谷川星凪,選手,B,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
34L,34L-3,,1390,吉野　浩章,56,B,33L・34L,5L・6L,11L・12L,17L・18L,23L・24L,19L・20L,25L・26L,31L・32L,3L・4L,9L・10L
35L,35L-1,,1451,小野　在由,61,B,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
35L,35L-2,☆アマ,,安田　洋規,選手,B,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
35L,35L-3,,1292,三浦　啓寛,52,B,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
36L,36L-1,,390,宮内圭次郎,12,B,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
36L,36L-2,☆アマ,,永井裕乃進,選手,B,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
36L,36L-3,,1121,鈴木　勇太,46,B,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
